user_id,isbn,book_rating
276747,60517794,9
276747,671537458,9
276747,679776818,8
276762,380711524,5
276772,553572369,7
276772,3499230933,10
276788,345443683,8
276788,043935806X,7
276788,055310666X,10
276798,3548603203,6
276813,8426449476,8
276822,60096195,10
276822,141310340,9
276822,375821813,9
276822,552546933,9
276822,689804458,8
276822,786817070,10
276847,3257200552,5
276847,3404148576,8
276847,3404921178,7
276847,3423071516,10
276847,3426029553,8
276847,3442413508,10
276847,3442435773,8
276847,3442437717,7
276847,3442441080,10
276847,3442446414,10
276847,3442448530,7
276847,347354034X,7
276847,3551551677,10
276847,3551551685,10
276847,3551551693,10
276847,3551551936,10
276847,359621078X,9
276847,360893541X,10
276847,3608935428,10
276847,3608935436,10
276859,836218833,10
276859,836220889,10
276859,088365721X,9
276861,141011904,9
276861,3423201509,10
276861,360893541X,9
276861,3608935428,9
276861,3608935436,9
276866,3404139178,9
276866,345309221X,8
276872,042518109X,8
276875,8807810751,7
276875,8817106100,6
276875,8838910987,8
276904,440414121,10
276911,8420636282,9
276911,8432205311,9
276925,002542730X,10
276925,99414732,7
276925,140154078,6
276925,385504209,8
276925,553275283,8
276925,063403541X,6
276925,8420432113,5
276925,950491036X,10
276928,059030271X,5
276928,671021354,10
276929,2020564777,6
276929,2070404587,10
276929,2264031158,6
276929,2266102621,10
276929,2266104535,2
276936,3596122279,5
276939,2070419657,7
276939,2253063339,9
276939,2253137243,9
276939,2253144452,9
276939,2253152072,9
276939,226612269X,9
276939,8423310353,8
276953,446310786,10
276954,3423118709,10
276964,345348672,10
276964,345354621,10
276964,345435036,10
276964,425104273,9
276964,440220602,9
276964,684867621,8
276964,812550307,10
276964,843949163,8
276964,886773741,7
276964,886774802,8
276964,886774829,8
276964,886775426,9
276964,886775957,10
276986,60930187,10
276986,375760911,10
276986,689817851,10
276986,874869870,10
276988,61083259,7
276988,61094404,8
276988,671793489,8
276994,3257062354,8
276994,3423202327,6
276994,3492045170,7
276994,3548359698,6
276994,3596214629,8
277012,553581112,9
277012,805047379,5
277012,892964456,10
277018,373250223,7
277036,812511816,9
277036,880381736,9
277036,880381744,10
277042,312283709,8
277042,446605484,7
277042,446611212,8
277042,451207955,7
277042,609804138,9
277042,074343627X,8
277042,971880107,2
277051,99845008,5
277051,330262130,10
277051,385720920,10
277051,553262505,7
277051,3453171500,7
277087,8423918335,6
277087,8472230082,5
277107,081297106X,10
277107,843951826,5
277109,385334141,5
277109,425191184,5
277109,751503894,5
277124,425189864,9
277124,440236053,9
277124,440241073,9
277124,553586122,5
277143,031286504X,10
277143,345342968,9
277143,767903382,8
277157,312331754,7
277157,312979517,5
277157,316154059,5
277157,345450175,6
277157,345452550,7
277157,399146504,7
277157,399146687,7
277157,399147101,7
277157,399148337,6
277157,399148639,6
277157,399148728,8
277157,399150811,5
277157,399151451,7
277157,425183181,5
277157,671024094,7
277157,679450408,6
277157,684846608,5
277157,074320607X,7
277157,743486226,7
277157,812571118,5
277168,671032658,4
277168,812568710,5
277171,449213730,8
277171,451173139,7
277171,553580930,9
277171,804102511,9
277171,080410946X,8
277186,340734043,8
277195,60391626,10
277195,330332775,10
277195,055326611X,10
277195,553347756,10
277195,553379615,10
277195,670869902,10
277195,671021001,10
277195,671647458,10
277195,1573221856,10
277197,316969680,8
277197,375703861,7
277197,440225442,8
277197,743229878,6
277203,030700645X,8
277203,307127923,8
277203,307302016,8
277203,307302636,8
277203,307987655,8
277203,039480001X,9
277203,394800028,9
277203,394800184,9
277203,039480029X,8
277203,039480967X,8
277203,059044297X,9
277203,590629719,10
277203,717283194,8
277203,717283208,8
277203,717283364,8
277203,717283372,8
277203,717284832,8
277203,1562826468,9
277230,037541309X,7
277230,826308791,5
277235,014029628X,6
277235,375703861,10
277235,425188175,7
277272,9726101794,4
277272,9726106141,5
277363,60393823,1
277363,156027321,8
277378,312195516,7
277378,446608955,4
277378,670892963,7
277378,671646575,6
277378,804114986,5
277378,812507452,4
277378,812515560,5
277378,812515595,4
277427,002542730X,10
277427,60006641,10
277427,60542128,7
277427,61009059,9
277427,152050167,10
277427,316776963,8
277427,33031582,8
277427,345413903,10
277427,375751513,9
277427,380702843,8
277427,380791978,9
277427,038081904X,9
277427,385424736,9
277427,385486804,9
277427,385503857,9
277427,385504209,8
277427,039304016X,8
277427,399149562,7
277427,399501487,9
277427,425104338,9
277427,425116840,8
277427,425133516,9
277427,425190749,7
277427,440185327,5
277427,440224764,7
277427,440236061,8
277427,440236738,9
277427,440428130,8
277427,441627404,10
277427,446350982,9
277427,446522384,8
277427,446600415,10
277427,446608890,10
277427,451180739,8
277427,451191153,8
277427,451203593,10
277427,452284449,6
277427,552137030,8
277427,553078925,8
277427,553280368,9
277427,553351672,10
277427,553571656,10
277427,553573926,10
277427,553574566,9
277427,553581929,9
277427,671014420,5
277427,671528904,8
277427,671727079,9
277427,671740504,8
277427,671749897,8
277427,671876821,8
277427,679417648,10
277427,679731148,9
277427,679736042,5
277427,736903054,8
277427,740723367,9
277427,743406176,8
277427,743412028,9
277427,743422082,9
277427,743444477,9
277427,743457943,8
277427,767903382,10
277427,786866845,10
277427,802425488,9
277427,810909650,5
277427,811802981,10
277427,811811409,10
277427,812504798,8
277427,812531353,8
277427,836210263,10
277427,836213076,10
277427,836217691,10
277427,836218515,10
277427,836218817,10
277427,836221192,10
277427,836221311,8
277427,836236688,10
277427,843947888,7
277427,887621112,6
277427,890876517,10
277427,898157803,10
277427,932592007,8
277427,1400060265,10
277427,1559586893,10
277427,1562923668,10
277427,1565075722,10
277427,1572304510,10
277427,1576733343,10
277427,8251800811,7
277436,590629786,10
277436,590629794,10
277436,590629808,10
277436,590629816,10
277439,312242026,5
277439,316666343,7
277439,345444892,5
277439,345452550,5
277439,399149821,7
277439,553579134,7
277439,671027360,7
277466,380718340,7
277466,440226414,7
277466,553292722,8
277466,553571885,8
277478,312113420,7
277478,312979533,7
277478,345330129,8
277478,440213320,7
277478,449907635,5
277478,552142379,8
277478,752853694,10
277478,1558745718,8
277478,9068340344,7
277509,1400030382,9
277509,2221090810,10
277517,452282152,8
277517,553272586,10
277523,312289723,10
277523,316603570,10
277523,316693200,10
277523,345452577,10
277523,345452593,10
277523,385336322,10
277523,385336357,10
277523,385508042,10
277523,385510438,10
277523,039915180X,10
277523,399151877,10
277523,440241537,10
277523,446530891,10
277523,446613843,10
277523,515133302,10
277523,055308576X,10
277523,553801589,10
277523,553803409,10
277523,671886665,10
277523,684835983,10
277523,743206045,10
277523,1558744150,10
277527,316777722,10
277527,374516812,10
277527,375707166,9
277527,679439382,7
277527,679723161,8
277554,345392825,9
277554,345435168,3
277554,452268060,5
277554,553211803,7
277562,140043519,9
277562,140274286,6
277563,312971400,6
277563,312986769,7
277575,142004235,5
277575,446301582,9
277575,446608262,9
277588,8408039369,6
277589,425125467,8
277589,553263226,9
277589,671026704,7
277589,812579402,9
277623,002542730X,5
277623,28604199,9
277623,140340203,9
277623,786890436,4
277623,1400031346,8
277623,1400031354,8
277623,1588720756,6
277629,374184232,4
277629,380005166,7
277629,380018179,8
277629,385472943,8
277629,399132414,9
277629,425116840,6
277629,440241073,8
277629,671000306,7
277629,671000314,8
277629,671026682,7
277629,671795740,9
277639,345335058,6
277639,034539657X,8
277639,380731851,6
277639,425071014,6
277639,425142485,7
277639,425147363,8
277639,042516098X,5
277639,440211727,8
277639,440214041,9
277639,440430712,7
277639,446794031,8
277639,044921852X,7
277639,451085108,9
277639,451162145,8
277639,553297260,8
277639,553579754,7
277639,671416367,7
277639,812543262,8
277662,051510566X,5
277662,052594544X,4
277662,743206061,4
277662,087542127X,5
277681,747546290,7
277710,61015725,4
277710,312983395,5
277710,425192032,9
277710,446611638,5
277710,446613843,6
277710,451208765,10
277710,451210840,5
277710,451210875,8
277710,553582763,6
277711,449911160,6
277711,553282980,5
277711,671755056,10
277711,812967224,7
277711,1573227889,10
277711,3499100045,10
277711,3937793003,8
277722,61031070,7
277722,449005615,10
277722,804114986,8
277737,440217520,8
277744,61031550,8
277744,312421273,7
277744,345339681,3
277744,345377443,8
277744,385491328,8
277744,440235162,5
277744,609806564,8
277744,679416498,10
277744,887307876,9
277744,929634063,10
